run,nrmse,Met,LigH,Lig_minus,H_plus,Base,Mod,SBU,SBU_capped,Nuc_A,Am,Nuc_C,MOF_C
A5_unbounded_n1000,0.007015,0.004665,0.007644,0.016321,0.006342,0.011499,0.000832,0.012426,0.006850,0.006529,0.003048,0.004646,0.003374
A6_baseline_n1000,0.007107,0.005074,0.008141,0.017213,0.006556,0.011805,0.000859,0.012560,0.006609,0.005942,0.002315,0.005083,0.003124
A6_baseline_n100,0.008408,0.006708,0.005553,0.013217,0.008265,0.009525,0.001815,0.017647,0.011012,0.008811,0.003235,0.009646,0.005460
A7_l1reg_n1000,0.008551,0.006549,0.008049,0.016225,0.007609,0.014440,0.001278,0.017394,0.009219,0.007345,0.003531,0.006476,0.004504
A2_sample_theta_n1000,0.009312,0.006491,0.008246,0.016510,0.007633,0.014654,0.001555,0.017773,0.011358,0.008162,0.003650,0.010059,0.005659
A2_sample_theta_n100,0.010163,0.005854,0.006851,0.013500,0.010431,0.011416,0.002706,0.022787,0.017777,0.008160,0.005069,0.011879,0.005526
A6_baseline_first_last_n1000,0.011287,0.004767,0.008751,0.022098,0.007045,0.013220,0.002439,0.020210,0.018767,0.013983,0.004821,0.015754,0.003583
A6_baseline_n10,0.013637,0.004307,0.004265,0.011089,0.003986,0.010605,0.004211,0.014605,0.013554,0.028898,0.005311,0.018122,0.044689
A9_neural_ode_correction_n1000,0.014651,0.008739,0.010632,0.018090,0.007520,0.013746,0.003027,0.023898,0.023136,0.013566,0.010722,0.022813,0.019922
A1_fixed_theta_n1000,0.015653,0.012864,0.013158,0.022656,0.013943,0.014700,0.003019,0.021701,0.025184,0.018868,0.018142,0.013550,0.010054
A5_unbounded_n100,0.017186,0.007774,0.006346,0.014015,0.009799,0.010533,0.007831,0.039647,0.032158,0.027970,0.010398,0.026043,0.013718
A7_l1reg_first_last_n1000,0.018773,0.006004,0.008119,0.016036,0.007709,0.016064,0.003829,0.024759,0.057680,0.018637,0.010696,0.049232,0.006506
A7_l1reg_n100,0.020486,0.008115,0.007513,0.012438,0.010417,0.011165,0.008439,0.041192,0.046385,0.021261,0.015644,0.028712,0.034546
A5_unbounded_n10,0.021212,0.004868,0.004473,0.009423,0.004497,0.007572,0.008332,0.035330,0.026816,0.025345,0.037104,0.024642,0.066142
A2_sample_theta_n10,0.024671,0.008196,0.007584,0.011120,0.007796,0.009074,0.018090,0.035082,0.058223,0.023977,0.033657,0.026137,0.057120
A7_l1reg_n10,0.026718,0.009411,0.009064,0.008773,0.009246,0.011155,0.011751,0.031345,0.037822,0.034255,0.040043,0.025511,0.092237
A5_unbounded_first_last_n1000,0.027594,0.005231,0.007969,0.016754,0.006786,0.013247,0.002049,0.029918,0.018464,0.140633,0.060003,0.024932,0.005143
A5_unbounded_first_last_n100,0.038894,0.008362,0.006848,0.014031,0.010355,0.015940,0.008085,0.075783,0.072803,0.078120,0.044873,0.086455,0.045080
A4_neural_ode_mlp_n1000,0.039785,0.017570,0.016960,0.019740,0.013001,0.012890,0.022192,0.022014,0.081239,0.033538,0.045962,0.031909,0.160405
A6_baseline_first_last_n100,0.043828,0.007212,0.011525,0.028569,0.012506,0.017306,0.025322,0.057851,0.115346,0.080618,0.062005,0.095841,0.011838
A3_neural_ode_gru_n1000,0.047200,0.021200,0.018904,0.020935,0.015641,0.013600,0.039286,0.037817,0.161089,0.039768,0.034716,0.067205,0.096240
A7_l1reg_first_last_n100,0.050108,0.007297,0.006694,0.015171,0.009447,0.016286,0.025263,0.083924,0.129944,0.167031,0.071231,0.051243,0.017772
A9_neural_ode_correction_n100,0.054608,0.033251,0.020574,0.073034,0.021035,0.017564,0.031325,0.056474,0.091012,0.066048,0.054363,0.074162,0.116453
A1_fixed_theta_n100,0.079675,0.042104,0.012355,0.123920,0.023507,0.020724,0.039309,0.134612,0.176743,0.151710,0.045484,0.073923,0.111711
A5_unbounded_first_last_n10,0.079737,0.015179,0.013689,0.016912,0.014370,0.006219,0.010687,0.056354,0.034394,0.119834,0.076080,0.512202,0.080926
A6_baseline_n3,0.086117,0.032313,0.033584,0.034447,0.032530,0.024903,0.062721,0.060155,0.358893,0.059126,0.129951,0.152002,0.052774
A2_sample_theta_n3,0.093733,0.027187,0.032413,0.035817,0.029378,0.023172,0.072902,0.059212,0.417151,0.049145,0.127795,0.086756,0.163872
A9_neural_ode_correction_n10,0.110926,0.070502,0.021113,0.167606,0.037188,0.054903,0.047241,0.108727,0.177964,0.191830,0.029328,0.291053,0.133658
A6_baseline_first_last_n10,0.111845,0.033110,0.026771,0.110038,0.025240,0.038745,0.048742,0.184990,0.156876,0.258241,0.177968,0.222108,0.059306
A7_l1reg_first_last_n10,0.113199,0.034203,0.025093,0.115306,0.024500,0.041639,0.049868,0.189647,0.160498,0.263560,0.176859,0.228929,0.048281
A6_baseline_first_last_n3,0.119267,0.027188,0.033733,0.058130,0.029021,0.031915,0.025757,0.149203,0.147383,0.197479,0.185012,0.288293,0.258093
A7_l1reg_first_last_n3,0.119415,0.048920,0.046166,0.042865,0.047135,0.035251,0.049768,0.096135,0.284779,0.217300,0.120740,0.231047,0.212872
A5_unbounded_n3,0.121555,0.019416,0.021319,0.033287,0.019619,0.032610,0.023379,0.134997,0.133776,0.139001,0.138830,0.216432,0.545994
A4_neural_ode_mlp_n100,0.129680,0.127041,0.144586,0.122346,0.107845,0.022977,0.053191,0.094580,0.289902,0.139589,0.114696,0.175302,0.164106
A3_neural_ode_gru_n100,0.133211,0.158376,0.099767,0.036779,0.103482,0.023018,0.054591,0.116023,0.272131,0.192697,0.085248,0.151317,0.305102
A1_fixed_theta_n10,0.159593,0.057229,0.018060,0.161754,0.034498,0.044247,0.052652,0.126207,0.169459,0.314898,0.079610,0.354855,0.501652
A7_l1reg_n3,0.166526,0.040956,0.040272,0.038495,0.040148,0.027105,0.119023,0.062531,0.681059,0.074405,0.211125,0.490494,0.172695
A5_unbounded_first_last_n3,0.173235,0.024069,0.025827,0.034842,0.024305,0.065615,0.074870,0.051599,0.428409,0.212551,0.097916,0.464002,0.574814
A9_neural_ode_correction_first_last_n1000,0.181382,0.008270,0.183350,0.119862,0.110743,0.045319,0.047073,0.184798,0.307533,0.318563,0.560016,0.263996,0.027060
A9_neural_ode_correction_first_last_n100,0.185212,0.035632,0.440728,0.187204,0.083814,0.029101,0.125890,0.141993,0.310754,0.205016,0.122451,0.490862,0.049102
A9_neural_ode_correction_first_last_n3,0.185334,0.101977,0.241900,0.188623,0.154661,0.023882,0.146763,0.100468,0.306925,0.161447,0.290220,0.326790,0.180350
A1_fixed_theta_n3,0.193099,0.067839,0.034410,0.154951,0.046393,0.043357,0.111994,0.130531,0.640834,0.186424,0.152302,0.190992,0.557158
A9_neural_ode_correction_n3,0.200095,0.071195,0.097922,0.180393,0.125211,0.042211,0.075420,0.125416,0.534724,0.161370,0.311818,0.194017,0.481444
A4_neural_ode_mlp_n10,0.271702,0.280896,0.345928,0.130669,0.318595,0.085719,0.193249,0.178489,0.297659,0.240874,0.543521,0.417040,0.227786
A9_neural_ode_correction_first_last_n10,0.313717,0.052141,0.928004,0.182391,0.072744,0.027719,0.300903,0.156113,0.267950,0.456373,0.504732,0.638238,0.177291
