run,nrmse,Glc,SugarP,PEP,Pyr,Lac,ATP,NAD,NADH
A5_unbounded_n1000,0.062394,0.033234,0.055562,0.195982,0.056422,0.034289,0.015768,0.031168,0.076724
A5_unbounded_n10,0.077774,0.033416,0.053419,0.158318,0.111581,0.024410,0.047991,0.025451,0.167604
A7_l1reg_n1000,0.078809,0.033868,0.057532,0.336825,0.047306,0.031983,0.016918,0.031334,0.074707
A6_baseline_n1000,0.089979,0.029111,0.057326,0.443233,0.049216,0.027317,0.015365,0.026686,0.071578
A4_neural_ode_mlp_n1000,0.092738,0.033383,0.036522,0.326416,0.091827,0.091458,0.018919,0.053049,0.090329
A5_unbounded_n100,0.099096,0.055202,0.055285,0.251292,0.081763,0.066253,0.027957,0.038232,0.216786
A6_baseline_n100,0.102193,0.059411,0.077790,0.289954,0.079699,0.079113,0.034166,0.029958,0.167454
A3_neural_ode_gru_n1000,0.102471,0.031314,0.031032,0.413052,0.091595,0.091131,0.018225,0.053002,0.090421
A4_neural_ode_mlp_n100,0.107784,0.036353,0.051918,0.364375,0.086640,0.094207,0.017207,0.044463,0.167105
A4_neural_ode_mlp_n10,0.111533,0.059291,0.118425,0.247507,0.120348,0.102646,0.035452,0.062831,0.145766
A6_baseline_n10,0.112370,0.033271,0.054090,0.120583,0.324868,0.111978,0.052746,0.026554,0.174867
A3_neural_ode_gru_n100,0.116829,0.035079,0.068035,0.306932,0.125230,0.149751,0.018533,0.034054,0.197016
A9_neural_ode_correction_n1000,0.119028,0.029080,0.039110,0.568465,0.090404,0.073563,0.018302,0.050642,0.082657
A3_neural_ode_gru_n10,0.135089,0.028018,0.096318,0.322410,0.249476,0.159257,0.032213,0.043862,0.149160
A9_neural_ode_correction_n100,0.135626,0.054711,0.036033,0.524462,0.102429,0.082018,0.039454,0.036154,0.209745
A7_l1reg_n100,0.138276,0.049875,0.068528,0.598586,0.082775,0.089715,0.028838,0.029543,0.158349
A7_l1reg_n10,0.145750,0.032381,0.053901,0.413275,0.305486,0.112915,0.053170,0.025691,0.169178
A6_baseline_n3,0.146216,0.063527,0.076037,0.066918,0.293146,0.257940,0.230689,0.081665,0.099807
A2_sample_theta_first_last_n3,0.161139,0.069843,0.099313,0.100305,0.111381,0.346974,0.265286,0.133210,0.162801
A9_neural_ode_correction_n10,0.169328,0.079638,0.080144,0.492671,0.114296,0.170089,0.069452,0.025079,0.323254
A3_neural_ode_gru_n3,0.169330,0.123595,0.119384,0.100402,0.271792,0.350030,0.238378,0.068480,0.082583
A2_sample_theta_n100,0.175196,0.052091,0.066618,0.633138,0.116645,0.123690,0.039238,0.049724,0.320421
A7_l1reg_n3,0.180937,0.063461,0.096155,0.261225,0.307685,0.255505,0.250060,0.096034,0.117368
A2_sample_theta_n3,0.182079,0.078627,0.130732,0.202645,0.258407,0.245445,0.288448,0.113553,0.138778
A5_unbounded_n3,0.191742,0.073993,0.107398,0.202194,0.272555,0.273055,0.312331,0.131590,0.160822
A2_sample_theta_n1000,0.201923,0.064138,0.067877,0.759589,0.168517,0.182421,0.045601,0.110660,0.216578
A9_neural_ode_correction_n3,0.247181,0.152043,0.174488,0.169294,0.425448,0.303089,0.380201,0.162623,0.210266
A6_baseline_first_last_n3,0.249814,0.086507,0.123483,0.865069,0.148041,0.324106,0.323516,0.057509,0.070284
A5_unbounded_first_last_n3,0.250852,0.046226,0.437091,0.290299,0.370609,0.254698,0.286539,0.144616,0.176741
A1_fixed_theta_n1000,0.265512,0.058706,0.066474,1.275099,0.152898,0.177181,0.049287,0.109235,0.235219
A4_neural_ode_mlp_n3,0.270952,0.147233,0.245295,0.454893,0.380024,0.359885,0.238883,0.192002,0.149401
A7_l1reg_first_last_n3,0.279496,0.064687,0.064648,1.272052,0.072842,0.337399,0.280092,0.064913,0.079333
A4_neural_ode_mlp_first_last_n3,0.311386,0.140304,0.372344,0.454893,0.372392,0.321002,0.553264,0.212343,0.064547
A3_neural_ode_gru_first_last_n3,0.376653,0.478452,0.215760,0.454893,0.381514,0.256947,0.452493,0.615538,0.157627
A4_neural_ode_mlp_first_last_n10,0.378110,0.132557,0.454325,0.492932,0.455324,0.406904,0.658803,0.142258,0.281774
A3_neural_ode_gru_first_last_n10,0.419072,0.141032,0.385809,0.492953,0.568531,0.721716,0.567664,0.209670,0.265197
A2_sample_theta_n10,0.442197,0.124284,0.102503,1.141593,0.700827,1.001996,0.115103,0.046310,0.304962
A2_sample_theta_first_last_n10,0.460983,0.032658,0.123528,1.311523,1.033961,0.269691,0.157372,0.100079,0.659051
A6_baseline_first_last_n10,0.485378,0.027329,0.232561,1.770173,0.957485,0.040943,0.225111,0.082979,0.546440
A1_fixed_theta_first_last_n3,0.563863,0.299834,0.361577,2.039996,0.389371,0.358383,0.392939,0.300972,0.367831
